Country,State,City,ProductName,Color,OrderQuantity,TotalProductCost,SalesAmount,TaxAmt,Freight,Orderdate,ShipDate
Canada,Alberta,Calgary,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,Alberta,Edmonton,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Burnaby,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Burnaby,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Burnaby,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Burnaby,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Burnaby,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Burnaby,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Cliffside,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Haney,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Langford,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Langley,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Metchosin,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,N. Vancouver,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Newton,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Newton,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Newton,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Newton,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Oak Bay,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Port Hammond,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Richmond,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Royal Oak,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Shawnee,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Shawnee,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
Canada,British Columbia,Shawnee,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568,2010-12-29 00:00:00.000,2011-01-05 00:00:00.000
